Problema,Vehiculos,NCandidatos,Ejecución,Distancia Total,Tiempo CPU (sg),
I40j_2m_S1_1.txt,2,2,1,199 -> 132,0.3135432,
I40j_2m_S1_1.txt,2,2,2,175 -> 147,0.1362621,
I40j_2m_S1_1.txt,2,2,3,299 -> 150,0.092133,
I40j_2m_S1_1.txt,2,2,4,244 -> 143,0.2966583,
I40j_2m_S1_1.txt,2,2,5,181 -> 147,0.0892364,
I40j_4m_S1_1.txt,4,2,1,314 -> 172,0.1004474,
I40j_4m_S1_1.txt,4,2,2,379 -> 184,0.1905801,
I40j_4m_S1_1.txt,4,2,3,314 -> 188,0.1134253,
I40j_4m_S1_1.txt,4,2,4,238 -> 177,0.177362,
I40j_4m_S1_1.txt,4,2,5,285 -> 180,0.0991018,
I40j_6m_S1_1.txt,6,2,1,322 -> 207,0.1834974,
I40j_6m_S1_1.txt,6,2,2,279 -> 219,0.2299604,
I40j_6m_S1_1.txt,6,2,3,333 -> 191,0.1519701,
I40j_6m_S1_1.txt,6,2,4,348 -> 215,0.1063088,
I40j_6m_S1_1.txt,6,2,5,390 -> 211,0.1753921,
I40j_8m_S1_1.txt,8,2,1,301 -> 198,0.1120872,
I40j_8m_S1_1.txt,8,2,2,324 -> 192,0.1542014,
I40j_8m_S1_1.txt,8,2,3,321 -> 220,0.2259371,
I40j_8m_S1_1.txt,8,2,4,306 -> 227,0.216289,
I40j_8m_S1_1.txt,8,2,5,284 -> 231,0.1188185,
I40j_2m_S1_1.txt,2,3,1,199 -> 156,0.1329717,
I40j_2m_S1_1.txt,2,3,2,370 -> 155,0.1195486,
I40j_2m_S1_1.txt,2,3,3,265 -> 157,0.1128135,
I40j_2m_S1_1.txt,2,3,4,283 -> 147,0.2092209,
I40j_2m_S1_1.txt,2,3,5,245 -> 154,0.1219377,
I40j_4m_S1_1.txt,4,3,1,236 -> 191,0.1689839,
I40j_4m_S1_1.txt,4,3,2,306 -> 185,0.2248595,
I40j_4m_S1_1.txt,4,3,3,307 -> 189,0.1367364,
I40j_4m_S1_1.txt,4,3,4,286 -> 175,0.1911921,
I40j_4m_S1_1.txt,4,3,5,254 -> 184,0.1914841,
I40j_6m_S1_1.txt,6,3,1,294 -> 211,0.1802672,
I40j_6m_S1_1.txt,6,3,2,430 -> 218,0.2268498,
I40j_6m_S1_1.txt,6,3,3,337 -> 218,0.2465304,
I40j_6m_S1_1.txt,6,3,4,326 -> 229,0.1906084,
I40j_6m_S1_1.txt,6,3,5,322 -> 209,0.1671459,
I40j_8m_S1_1.txt,8,3,1,371 -> 219,0.4692495,
I40j_8m_S1_1.txt,8,3,2,395 -> 229,0.2264904,
I40j_8m_S1_1.txt,8,3,3,371 -> 227,0.228129,
I40j_8m_S1_1.txt,8,3,4,336 -> 214,0.3271072,
I40j_8m_S1_1.txt,8,3,5,367 -> 236,0.3173549,
