Problema,Vehiculos,Ejecución,Distancia Total,Tiempo CPU (sg),
I40j_2m_S1_1.txt,2,1,146,0.0135049,
I40j_2m_S1_1.txt,2,2,146,0.0012264,
I40j_2m_S1_1.txt,2,3,146,0.0014873,
I40j_2m_S1_1.txt,2,4,146,0.0013394,
I40j_2m_S1_1.txt,2,5,146,0.0010239,
I40j_4m_S1_1.txt,4,1,283,9.799E-4,
I40j_4m_S1_1.txt,4,2,283,7.22E-4,
I40j_4m_S1_1.txt,4,3,283,4.835E-4,
I40j_4m_S1_1.txt,4,4,283,0.0011658,
I40j_4m_S1_1.txt,4,5,283,4.68E-4,
I40j_6m_S1_1.txt,6,1,211,6.609E-4,
I40j_6m_S1_1.txt,6,2,211,6.594E-4,
I40j_6m_S1_1.txt,6,3,211,0.0011815,
I40j_6m_S1_1.txt,6,4,211,6.732E-4,
I40j_6m_S1_1.txt,6,5,211,5.177E-4,
I40j_8m_S1_1.txt,8,1,336,5.288E-4,
I40j_8m_S1_1.txt,8,2,336,8.016E-4,
I40j_8m_S1_1.txt,8,3,336,7.957E-4,
I40j_8m_S1_1.txt,8,4,336,7.296E-4,
I40j_8m_S1_1.txt,8,5,336,0.0017448,
