Problema,Vehiculos,Agitaciónes,Ejecución,Distancia Total,Tiempo CPU (sg),
I40j_2m_S1_1.txt,2,2,1,277 -> 131,1.1792194,
I40j_2m_S1_1.txt,2,2,2,226 -> 128,1.4256875,
I40j_2m_S1_1.txt,2,2,3,277 -> 125,1.8666385,
I40j_2m_S1_1.txt,2,2,4,205 -> 126,0.9535777,
I40j_2m_S1_1.txt,2,2,5,235 -> 137,1.5361007,
I40j_4m_S1_1.txt,4,2,1,242 -> 156,1.512522,
I40j_4m_S1_1.txt,4,2,2,218 -> 153,2.3991134,
I40j_4m_S1_1.txt,4,2,3,248 -> 153,0.8065295,
I40j_4m_S1_1.txt,4,2,4,277 -> 153,1.2769521,
I40j_4m_S1_1.txt,4,2,5,202 -> 151,1.4771123,
I40j_6m_S1_1.txt,6,2,1,328 -> 182,1.2840868,
