Problema,Número de Vehiculos,Número de Candidatos,Ejecución,Distancia Total Recorrida,CPU Time (ns),
00000005,2,2,1,144,130591600,
00000006,4,2,2,128,97147100,
00000007,6,2,3,120,66340300,
00000008,8,2,4,118,109713400,
00000009,2,3,1,168,23294300,
00000010,4,3,2,126,46592900,
00000011,6,3,3,135,100569800,
00000012,8,3,4,125,91436600,
00000013,2,4,1,194,30130800,
00000014,4,4,2,141,60017400,
00000015,6,4,3,134,91665700,
00000016,8,4,4,140,146579600,
00000017,2,5,1,238,38576100,
00000018,4,5,2,157,80300100,
00000019,6,5,3,148,117174300,
00000020,8,5,4,143,150454100,
00000021,2,6,1,264,47670600,
00000022,4,6,2,185,98137400,
00000023,6,6,3,152,140737900,
00000024,8,6,4,157,184377100,
00000025,2,7,1,250,61340600,
00000026,4,7,2,197,114496200,
00000027,6,7,3,164,168793700,
00000028,8,7,4,165,229720900,
00000029,2,8,1,282,64235300,
00000030,4,8,2,211,139203400,
00000031,6,8,3,156,194356600,
00000032,8,8,4,150,265886200,
00000033,2,9,1,321,76795300,
00000034,4,9,2,209,154570300,
00000035,6,9,3,176,239518200,
00000036,8,9,4,144,298220300,
00000037,2,10,1,336,90971100,
00000038,4,10,2,206,175784500,
00000039,6,10,3,172,264699200,
00000040,8,10,4,165,348428900,
